"Plot Title: Eric's Temp Logger"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 20122965, SEN S/N: 20122965, LBL: Hourly Temp)","Coupler Detached (LGR S/N: 20122965)","Coupler Attached (LGR S/N: 20122965)","Host Connected (LGR S/N: 20122965)","End Of File (LGR S/N: 20122965)"
1,06/03/17 07:39:57 AM,25.028,,,,
2,06/03/17 07:41:07 AM,,Logged,,,
3,06/03/17 08:39:57 AM,24.835,,,,
4,06/03/17 09:39:57 AM,24.158,,,,
5,06/03/17 10:39:57 AM,24.062,,,,
6,06/03/17 11:39:57 AM,23.484,,,,
7,06/03/17 12:39:57 PM,23.869,,,,
8,06/03/17 01:39:57 PM,24.351,,,,
9,06/03/17 02:39:57 PM,24.641,,,,
10,06/03/17 03:39:57 PM,24.931,,,,
11,06/03/17 04:39:57 PM,24.738,,,,
12,06/03/17 05:39:57 PM,24.641,,,,
13,06/03/17 06:39:57 PM,24.738,,,,
14,06/03/17 07:39:57 PM,24.931,,,,
15,06/03/17 08:39:57 PM,25.610,,,,
16,06/03/17 09:39:57 PM,25.416,,,,
17,06/03/17 10:39:57 PM,25.028,,,,
18,06/03/17 11:39:57 PM,24.738,,,,
19,06/04/17 12:39:57 AM,24.641,,,,
20,06/04/17 01:39:57 AM,24.545,,,,
21,06/04/17 02:39:57 AM,24.545,,,,
22,06/04/17 03:39:57 AM,24.448,,,,
23,06/04/17 04:39:57 AM,24.448,,,,
24,06/04/17 05:39:57 AM,24.351,,,,
25,06/04/17 06:39:57 AM,24.158,,,,
26,06/04/17 07:39:57 AM,24.062,,,,
27,06/04/17 08:39:57 AM,24.931,,,,
28,06/04/17 09:39:57 AM,28.258,,,,
29,06/04/17 10:39:57 AM,29.252,,,,
30,06/04/17 11:39:57 AM,29.053,,,,
31,06/04/17 12:39:57 PM,27.961,,,,
32,06/04/17 01:39:57 PM,25.902,,,,
33,06/04/17 02:39:57 PM,25.513,,,,
34,06/04/17 03:39:57 PM,25.028,,,,
35,06/04/17 04:39:57 PM,26.000,,,,
36,06/04/17 05:39:57 PM,25.513,,,,
37,06/04/17 06:39:57 PM,24.835,,,,
38,06/04/17 07:39:57 PM,24.255,,,,
39,06/04/17 08:39:57 PM,23.869,,,,
40,06/04/17 09:39:57 PM,23.581,,,,
41,06/04/17 10:39:57 PM,23.677,,,,
42,06/04/17 11:39:57 PM,23.484,,,,
43,06/05/17 12:39:57 AM,23.292,,,,
44,06/05/17 01:39:57 AM,23.196,,,,
45,06/05/17 02:39:57 AM,22.621,,,,
46,06/05/17 03:39:57 AM,22.717,,,,
47,06/05/17 04:39:57 AM,22.525,,,,
48,06/05/17 05:39:57 AM,21.855,,,,
49,06/05/17 06:39:57 AM,22.812,,,,
50,06/05/17 07:39:57 AM,26.390,,,,
51,06/05/17 08:39:57 AM,28.159,,,,
52,06/05/17 09:39:57 AM,29.953,,,,
53,06/05/17 10:39:57 AM,30.963,,,,
54,06/05/17 11:39:57 AM,32.188,,,,
55,06/05/17 12:39:57 PM,31.676,,,,
56,06/05/17 01:39:57 PM,32.497,,,,
57,06/05/17 02:39:57 PM,32.704,,,,
58,06/05/17 03:39:57 PM,33.848,,,,
59,06/05/17 04:39:57 PM,33.430,,,,
60,06/05/17 05:39:57 PM,31.166,,,,
61,06/05/17 06:39:57 PM,29.352,,,,
62,06/05/17 07:39:57 PM,26.683,,,,
63,06/05/17 08:39:57 PM,25.416,,,,
64,06/05/17 09:39:57 PM,24.931,,,,
65,06/05/17 10:39:57 PM,24.448,,,,
66,06/05/17 11:39:57 PM,24.062,,,,
67,06/06/17 12:39:57 AM,23.773,,,,
68,06/06/17 01:39:57 AM,23.581,,,,
69,06/06/17 02:39:57 AM,23.196,,,,
70,06/06/17 03:39:57 AM,23.100,,,,
71,06/06/17 04:39:57 AM,23.196,,,,
72,06/06/17 05:39:57 AM,23.388,,,,
73,06/06/17 06:39:57 AM,23.966,,,,
74,06/06/17 07:39:57 AM,26.977,,,,
75,06/06/17 08:39:57 AM,28.258,,,,
76,06/06/17 09:39:57 AM,31.268,,,,
77,06/06/17 10:39:57 AM,34.374,,,,
78,06/06/17 11:39:57 AM,35.542,,,,
79,06/06/17 12:39:57 PM,36.837,,,,
80,06/06/17 01:39:57 PM,36.403,,,,
81,06/06/17 02:39:57 PM,38.268,,,,
82,06/06/17 03:39:57 PM,37.274,,,,
83,06/06/17 04:39:57 PM,34.585,,,,
84,06/06/17 05:39:57 PM,31.676,,,,
85,06/06/17 06:39:57 PM,27.468,,,,
86,06/06/17 07:39:57 PM,25.125,,,,
87,06/06/17 08:39:57 PM,24.738,,,,
88,06/06/17 09:39:57 PM,24.545,,,,
89,06/06/17 10:39:57 PM,24.255,,,,
90,06/06/17 11:39:57 PM,23.869,,,,
91,06/07/17 12:39:57 AM,23.484,,,,
92,06/07/17 01:39:57 AM,23.388,,,,
93,06/07/17 02:39:57 AM,23.004,,,,
94,06/07/17 03:39:57 AM,23.100,,,,
95,06/07/17 04:39:57 AM,23.100,,,,
96,06/07/17 05:39:57 AM,23.292,,,,
97,06/07/17 06:39:57 AM,23.677,,,,
98,06/07/17 07:39:57 AM,24.255,,,,
99,06/07/17 08:39:57 AM,26.488,,,,
100,06/07/17 09:39:57 AM,29.252,,,,
101,06/07/17 10:39:57 AM,31.370,,,,
102,06/07/17 11:39:57 AM,32.086,,,,
103,06/07/17 12:39:57 PM,30.356,,,,
104,06/07/17 01:39:57 PM,28.555,,,,
105,06/07/17 02:39:57 PM,29.152,,,,
106,06/07/17 03:39:57 PM,27.961,,,,
107,06/07/17 04:39:57 PM,28.754,,,,
108,06/07/17 05:39:57 PM,27.272,,,,
109,06/07/17 06:39:57 PM,26.488,,,,
110,06/07/17 07:39:57 PM,25.125,,,,
111,06/07/17 08:39:57 PM,24.545,,,,
112,06/07/17 09:39:57 PM,24.158,,,,
113,06/07/17 10:39:57 PM,23.869,,,,
114,06/07/17 11:39:57 PM,23.773,,,,
115,06/08/17 12:39:57 AM,23.677,,,,
116,06/08/17 01:39:57 AM,23.388,,,,
117,06/08/17 02:39:57 AM,23.484,,,,
118,06/08/17 03:39:57 AM,23.869,,,,
119,06/08/17 04:39:57 AM,23.773,,,,
120,06/08/17 05:39:57 AM,23.773,,,,
121,06/08/17 06:39:57 AM,24.351,,,,
122,06/08/17 07:39:57 AM,24.931,,,,
123,06/08/17 08:39:57 AM,27.862,,,,
124,06/08/17 09:39:57 AM,29.552,,,,
125,06/08/17 10:39:57 AM,29.853,,,,
126,06/08/17 11:39:57 AM,29.953,,,,
127,06/08/17 12:39:57 PM,32.188,,,,
128,06/08/17 01:39:57 PM,32.704,,,,
129,06/08/17 02:39:57 PM,32.188,,,,
130,06/08/17 03:39:57 PM,29.053,,,,
131,06/08/17 04:39:57 PM,25.610,,,,
132,06/08/17 05:39:57 PM,23.388,,,,
133,06/08/17 06:39:57 PM,22.812,,,,
134,06/08/17 07:39:57 PM,22.717,,,,
135,06/08/17 08:39:57 PM,22.812,,,,
136,06/08/17 09:39:57 PM,22.908,,,,
137,06/08/17 10:39:57 PM,22.717,,,,
138,06/08/17 11:39:57 PM,22.717,,,,
139,06/09/17 12:39:57 AM,22.812,,,,
140,06/09/17 01:39:57 AM,22.812,,,,
141,06/09/17 02:39:57 AM,22.812,,,,
142,06/09/17 03:39:57 AM,22.621,,,,
143,06/09/17 04:39:57 AM,22.621,,,,
144,06/09/17 05:39:57 AM,22.717,,,,
145,06/09/17 06:39:57 AM,23.292,,,,
146,06/09/17 07:39:57 AM,24.255,,,,
147,06/09/17 08:39:57 AM,26.781,,,,
148,06/09/17 09:39:57 AM,29.252,,,,
149,06/09/17 10:39:57 AM,29.953,,,,
150,06/09/17 11:39:57 AM,31.166,,,,
151,06/09/17 12:39:57 PM,32.086,,,,
152,06/09/17 01:39:57 PM,34.585,,,,
153,06/09/17 02:39:57 PM,35.115,,,,
154,06/09/17 03:39:57 PM,31.778,,,,
155,06/09/17 04:39:57 PM,26.683,,,,
156,06/09/17 05:39:57 PM,27.567,,,,
157,06/09/17 06:39:57 PM,27.665,,,,
158,06/09/17 07:39:57 PM,24.931,,,,
159,06/09/17 08:39:57 PM,24.062,,,,
160,06/09/17 09:39:57 PM,23.773,,,,
161,06/09/17 10:39:57 PM,23.388,,,,
162,06/09/17 11:39:57 PM,23.292,,,,
163,06/10/17 12:39:57 AM,23.292,,,,
164,06/10/17 01:39:57 AM,23.388,,,,
165,06/10/17 02:39:57 AM,23.292,,,,
166,06/10/17 03:39:57 AM,23.484,,,,
167,06/10/17 04:39:57 AM,23.388,,,,
168,06/10/17 05:39:57 AM,23.292,,,,
169,06/10/17 06:39:57 AM,23.677,,,,
170,06/10/17 07:39:57 AM,25.416,,,,
171,06/10/17 08:39:57 AM,27.665,,,,
172,06/10/17 09:39:57 AM,30.054,,,,
173,06/10/17 10:39:57 AM,31.370,,,,
174,06/10/17 11:39:57 AM,34.479,,,,
175,06/10/17 12:39:57 PM,35.328,,,,
176,06/10/17 01:39:57 PM,34.374,,,,
177,06/10/17 02:39:57 PM,36.837,,,,
178,06/10/17 03:39:57 PM,35.542,,,,
179,06/10/17 04:39:57 PM,36.728,,,,
180,06/10/17 05:39:57 PM,35.009,,,,
181,06/10/17 06:39:57 PM,31.983,,,,
182,06/10/17 07:39:57 PM,26.879,,,,
183,06/10/17 08:39:57 PM,25.805,,,,
184,06/10/17 09:39:57 PM,24.835,,,,
185,06/10/17 10:39:57 PM,24.062,,,,
186,06/10/17 11:39:57 PM,23.773,,,,
187,06/11/17 12:39:57 AM,23.292,,,,
188,06/11/17 01:39:57 AM,22.908,,,,
189,06/11/17 02:39:57 AM,22.621,,,,
190,06/11/17 03:39:57 AM,22.429,,,,
191,06/11/17 04:39:57 AM,22.908,,,,
192,06/11/17 05:39:57 AM,22.525,,,,
193,06/11/17 06:39:57 AM,24.351,,,,
194,06/11/17 07:39:57 AM,28.853,,,,
195,06/11/17 08:39:57 AM,31.370,,,,
196,06/11/17 09:39:57 AM,32.807,,,,
197,06/11/17 10:39:57 AM,34.585,,,,
198,06/11/17 11:39:57 AM,34.479,,,,
199,06/11/17 12:39:57 PM,37.714,,,,
200,06/11/17 01:39:57 PM,37.494,,,,
201,06/11/17 02:39:57 PM,39.276,,,,
202,06/11/17 03:39:57 PM,37.714,,,,
203,06/11/17 04:39:57 PM,35.328,,,,
204,06/11/17 05:39:57 PM,32.497,,,,
205,06/11/17 06:39:57 PM,29.452,,,,
206,06/11/17 07:39:57 PM,28.357,,,,
207,06/11/17 08:39:57 PM,27.862,,,,
208,06/11/17 09:39:57 PM,27.665,,,,
209,06/11/17 10:39:57 PM,24.738,,,,
210,06/11/17 11:39:57 PM,24.255,,,,
211,06/12/17 12:39:57 AM,23.773,,,,
212,06/12/17 01:39:57 AM,23.484,,,,
213,06/12/17 02:39:57 AM,23.484,,,,
214,06/12/17 03:39:57 AM,23.581,,,,
215,06/12/17 04:39:57 AM,23.581,,,,
216,06/12/17 05:39:57 AM,23.484,,,,
217,06/12/17 06:39:57 AM,24.062,,,,
218,06/12/17 07:39:57 AM,25.708,,,,
219,06/12/17 08:07:48 AM,,,Logged,,
220,06/12/17 08:08:20 AM,,,,Logged,
221,06/12/17 08:12:35 AM,,Logged,,,
222,06/12/17 08:39:57 AM,28.456,,,,
223,06/12/17 09:39:57 AM,31.676,,,,
224,06/12/17 10:39:57 AM,33.326,,,,
225,06/12/17 11:39:57 AM,34.058,,,,
226,06/12/17 12:39:57 PM,33.430,,,,
227,06/12/17 01:39:57 PM,33.222,,,,
228,06/12/17 02:39:57 PM,34.163,,,,
229,06/12/17 03:39:57 PM,37.165,,,,
230,06/12/17 04:39:57 PM,32.497,,,,
231,06/12/17 05:39:57 PM,29.552,,,,
232,06/12/17 06:39:57 PM,28.456,,,,
233,06/12/17 07:39:57 PM,27.468,,,,
234,06/12/17 08:39:57 PM,27.075,,,,
235,06/12/17 09:39:57 PM,26.488,,,,
236,06/12/17 10:39:57 PM,25.805,,,,
237,06/12/17 11:39:57 PM,25.125,,,,
238,06/13/17 12:39:57 AM,24.835,,,,
239,06/13/17 01:39:57 AM,24.351,,,,
240,06/13/17 02:39:57 AM,23.869,,,,
241,06/13/17 03:39:57 AM,23.677,,,,
242,06/13/17 04:39:57 AM,23.581,,,,
243,06/13/17 05:39:57 AM,23.581,,,,
244,06/13/17 06:39:57 AM,24.351,,,,
245,06/13/17 07:39:57 AM,25.805,,,,
246,06/13/17 08:39:57 AM,28.754,,,,
247,06/13/17 09:39:57 AM,30.255,,,,
248,06/13/17 10:39:57 AM,30.659,,,,
249,06/13/17 11:39:57 AM,31.983,,,,
250,06/13/17 12:39:57 PM,30.558,,,,
251,06/13/17 01:39:57 PM,26.292,,,,
252,06/13/17 02:39:57 PM,26.195,,,,
253,06/13/17 03:39:57 PM,26.879,,,,
254,06/13/17 04:39:57 PM,26.879,,,,
255,06/13/17 05:39:57 PM,26.488,,,,
256,06/13/17 06:39:57 PM,26.000,,,,
257,06/13/17 07:39:57 PM,25.125,,,,
258,06/13/17 08:39:57 PM,24.738,,,,
259,06/13/17 09:39:57 PM,24.545,,,,
260,06/13/17 10:39:57 PM,24.545,,,,
261,06/13/17 11:39:57 PM,24.448,,,,
262,06/14/17 12:39:57 AM,24.448,,,,
263,06/14/17 01:39:57 AM,24.351,,,,
264,06/14/17 02:39:57 AM,24.158,,,,
265,06/14/17 03:39:57 AM,23.869,,,,
266,06/14/17 04:39:57 AM,23.966,,,,
267,06/14/17 05:39:57 AM,23.869,,,,
268,06/14/17 06:39:57 AM,24.835,,,,
269,06/14/17 07:39:57 AM,29.352,,,,
270,06/14/17 08:39:57 AM,30.760,,,,
271,06/14/17 09:39:57 AM,31.778,,,,
272,06/14/17 10:39:57 AM,30.659,,,,
273,06/14/17 11:39:57 AM,30.963,,,,
274,06/14/17 12:39:57 PM,29.252,,,,
275,06/14/17 01:39:57 PM,30.054,,,,
276,06/14/17 02:39:57 PM,30.356,,,,
277,06/14/17 03:39:57 PM,28.060,,,,
278,06/14/17 04:39:57 PM,27.075,,,,
279,06/14/17 05:39:57 PM,25.902,,,,
280,06/14/17 06:39:57 PM,24.448,,,,
281,06/14/17 07:39:57 PM,23.966,,,,
282,06/14/17 08:39:57 PM,23.484,,,,
283,06/14/17 09:39:57 PM,22.812,,,,
284,06/14/17 10:39:57 PM,22.333,,,,
285,06/14/17 11:39:57 PM,22.142,,,,
286,06/15/17 12:39:57 AM,21.760,,,,
287,06/15/17 01:39:57 AM,21.569,,,,
288,06/15/17 02:39:57 AM,21.473,,,,
289,06/15/17 03:39:57 AM,21.282,,,,
290,06/15/17 04:39:57 AM,21.187,,,,
291,06/15/17 05:39:57 AM,20.996,,,,
292,06/15/17 06:39:57 AM,21.091,,,,
293,06/15/17 07:39:57 AM,21.282,,,,
294,06/15/17 08:39:57 AM,21.760,,,,
295,06/15/17 09:39:57 AM,22.429,,,,
296,06/15/17 10:39:57 AM,22.429,,,,
297,06/15/17 11:39:57 AM,21.760,,,,
298,06/15/17 12:39:57 PM,22.142,,,,
299,06/15/17 01:39:57 PM,21.569,,,,
300,06/15/17 02:39:57 PM,21.664,,,,
301,06/15/17 03:39:57 PM,21.760,,,,
302,06/15/17 04:39:57 PM,20.996,,,,
303,06/15/17 05:39:57 PM,20.805,,,,
304,06/15/17 06:39:57 PM,20.234,,,,
305,06/15/17 07:39:57 PM,19.853,,,,
306,06/15/17 08:39:57 PM,19.948,,,,
307,06/15/17 09:39:57 PM,19.948,,,,
308,06/15/17 10:39:57 PM,19.758,,,,
