date_time,temp_c,date
2017-06-03T09:39:57Z,24.158,2017-06-03
2017-06-03T10:39:57Z,24.062,2017-06-03
2017-06-03T11:39:57Z,23.484,2017-06-03
2017-06-03T12:39:57Z,23.869,2017-06-03
2017-06-03T13:39:57Z,24.351,2017-06-03
2017-06-03T14:39:57Z,24.641,2017-06-03
2017-06-03T15:39:57Z,24.931,2017-06-03
2017-06-03T16:39:57Z,24.738,2017-06-03
2017-06-03T17:39:57Z,24.641,2017-06-03
2017-06-03T18:39:57Z,24.738,2017-06-03
2017-06-03T19:39:57Z,24.931,2017-06-03
2017-06-03T20:39:57Z,25.61,2017-06-03
2017-06-03T21:39:57Z,25.416,2017-06-03
2017-06-03T22:39:57Z,25.028,2017-06-03
2017-06-03T23:39:57Z,24.738,2017-06-03
2017-06-04T00:39:57Z,24.641,2017-06-04
2017-06-04T01:39:57Z,24.545,2017-06-04
2017-06-04T02:39:57Z,24.545,2017-06-04
2017-06-04T03:39:57Z,24.448,2017-06-04
2017-06-04T04:39:57Z,24.448,2017-06-04
2017-06-04T05:39:57Z,24.351,2017-06-04
2017-06-04T06:39:57Z,24.158,2017-06-04
2017-06-04T07:39:57Z,24.062,2017-06-04
2017-06-04T08:39:57Z,24.931,2017-06-04
2017-06-04T09:39:57Z,28.258,2017-06-04
2017-06-04T10:39:57Z,29.252,2017-06-04
2017-06-04T11:39:57Z,29.053,2017-06-04
2017-06-04T12:39:57Z,27.961,2017-06-04
2017-06-04T13:39:57Z,25.902,2017-06-04
2017-06-04T14:39:57Z,25.513,2017-06-04
2017-06-04T15:39:57Z,25.028,2017-06-04
2017-06-04T16:39:57Z,26,2017-06-04
2017-06-04T17:39:57Z,25.513,2017-06-04
2017-06-04T18:39:57Z,24.835,2017-06-04
2017-06-04T19:39:57Z,24.255,2017-06-04
2017-06-04T20:39:57Z,23.869,2017-06-04
2017-06-04T21:39:57Z,23.581,2017-06-04
2017-06-04T22:39:57Z,23.677,2017-06-04
2017-06-04T23:39:57Z,23.484,2017-06-04
2017-06-05T00:39:57Z,23.292,2017-06-05
2017-06-05T01:39:57Z,23.196,2017-06-05
2017-06-05T02:39:57Z,22.621,2017-06-05
2017-06-05T03:39:57Z,22.717,2017-06-05
2017-06-05T04:39:57Z,22.525,2017-06-05
2017-06-05T05:39:57Z,21.855,2017-06-05
2017-06-05T06:39:57Z,22.812,2017-06-05
2017-06-05T07:39:57Z,26.39,2017-06-05
2017-06-05T08:39:57Z,28.159,2017-06-05
2017-06-05T09:39:57Z,29.953,2017-06-05
2017-06-05T10:39:57Z,30.963,2017-06-05
2017-06-05T11:39:57Z,32.188,2017-06-05
2017-06-05T12:39:57Z,31.676,2017-06-05
2017-06-05T13:39:57Z,32.497,2017-06-05
2017-06-05T14:39:57Z,32.704,2017-06-05
2017-06-05T15:39:57Z,33.848,2017-06-05
2017-06-05T16:39:57Z,33.43,2017-06-05
2017-06-05T17:39:57Z,31.166,2017-06-05
2017-06-05T18:39:57Z,29.352,2017-06-05
2017-06-05T19:39:57Z,26.683,2017-06-05
2017-06-05T20:39:57Z,25.416,2017-06-05
2017-06-05T21:39:57Z,24.931,2017-06-05
2017-06-05T22:39:57Z,24.448,2017-06-05
2017-06-05T23:39:57Z,24.062,2017-06-05
2017-06-06T00:39:57Z,23.773,2017-06-06
2017-06-06T01:39:57Z,23.581,2017-06-06
2017-06-06T02:39:57Z,23.196,2017-06-06
2017-06-06T03:39:57Z,23.1,2017-06-06
2017-06-06T04:39:57Z,23.196,2017-06-06
2017-06-06T05:39:57Z,23.388,2017-06-06
2017-06-06T06:39:57Z,23.966,2017-06-06
2017-06-06T07:39:57Z,26.977,2017-06-06
2017-06-06T08:39:57Z,28.258,2017-06-06
2017-06-06T09:39:57Z,31.268,2017-06-06
2017-06-06T10:39:57Z,34.374,2017-06-06
2017-06-06T11:39:57Z,35.542,2017-06-06
2017-06-06T12:39:57Z,36.837,2017-06-06
2017-06-06T13:39:57Z,36.403,2017-06-06
2017-06-06T14:39:57Z,38.268,2017-06-06
2017-06-06T15:39:57Z,37.274,2017-06-06
2017-06-06T16:39:57Z,34.585,2017-06-06
2017-06-06T17:39:57Z,31.676,2017-06-06
2017-06-06T18:39:57Z,27.468,2017-06-06
2017-06-06T19:39:57Z,25.125,2017-06-06
2017-06-06T20:39:57Z,24.738,2017-06-06
2017-06-06T21:39:57Z,24.545,2017-06-06
2017-06-06T22:39:57Z,24.255,2017-06-06
2017-06-06T23:39:57Z,23.869,2017-06-06
2017-06-07T00:39:57Z,23.484,2017-06-07
