Year,Month,Day,Hour,Temperature,Precipitation
2017,5,31,1,23,0
2017,5,31,2,23,0
2017,5,31,3,23,0
2017,5,31,4,23,0
2017,5,31,5,23,0
2017,5,31,6,23,0
2017,5,31,7,23,0
2017,5,31,8,24,0
2017,5,31,9,25,0
2017,5,31,10,26,0
2017,5,31,11,28,0
2017,5,31,12,30,0
2017,5,31,13,32,0
2017,5,31,14,33,0
2017,5,31,15,33,0
2017,5,31,16,32,0
2017,5,31,17,30,0
2017,5,31,18,30,0
2017,5,31,19,28,0
2017,5,31,20,28,0
2017,5,31,21,27,0
2017,5,31,22,26,0
2017,5,31,23,25,0
2017,5,31,24,24,0
2017,6,1,1,24,0
2017,6,1,2,24,0
2017,6,1,3,24,0
2017,6,1,4,23,0
2017,6,1,5,23,0
2017,6,1,6,23,0
2017,6,1,7,24,0
2017,6,1,8,25,0
2017,6,1,9,25,0
2017,6,1,10,25,0
2017,6,1,11,27,0
2017,6,1,12,29,0
2017,6,1,13,31,0
2017,6,1,14,31,0
2017,6,1,15,31,0
2017,6,1,16,31,0
2017,6,1,17,28,0.2
2017,6,1,18,27,0
2017,6,1,19,24,8.2
2017,6,1,20,23,3.8
2017,6,1,21,22,22.1
2017,6,1,22,22,22.7
2017,6,1,23,22,6.3
2017,6,1,24,22,20.5
2017,5,11,1,19,0
2017,5,11,2,19,0
2017,5,11,3,19,0
2017,5,11,4,18,0
2017,5,11,5,18,0
2017,5,11,6,18,0
2017,5,11,7,20,0
2017,5,11,8,22,0
2017,5,11,9,24,0
2017,5,11,10,25,0
2017,5,11,11,26,0
2017,5,11,12,28,0
2017,5,11,13,29,0
2017,5,11,14,29,0
2017,5,11,15,32,0
2017,5,11,16,31,0
2017,5,11,17,30,0
2017,5,11,18,29,0
2017,5,11,19,27,0
2017,5,11,20,26,0
2017,5,11,21,24,0
2017,5,11,22,24,0
2017,5,11,23,22,0
2017,5,11,24,21,0
2017,5,12,1,22,0
2017,5,12,2,22,0
2017,5,12,3,22,0
2017,5,12,4,22,0
2017,5,12,5,22,0
2017,5,12,6,21,11.9
2017,5,12,7,21,4.3
2017,5,12,8,21,5.3
2017,5,12,9,21,7.1
2017,5,12,10,21,3.8
2017,5,12,11,21,4.7
2017,5,12,12,22,10.5
2017,5,12,13,22,1.7
2017,5,12,14,22,0.6
2017,5,12,15,23,0
2017,5,12,16,23,0.5
2017,5,12,17,24,0
2017,5,12,18,23,0
2017,5,12,19,22,0
2017,5,12,20,22,0
2017,5,12,21,22,0
2017,5,12,22,22,0
2017,5,12,23,22,0
2017,5,12,24,21,0
2017,5,13,1,21,0
2017,5,13,2,21,0
2017,5,13,3,21,0
2017,5,13,4,20,0
2017,5,13,5,20,0
2017,5,13,6,19,0
2017,5,13,7,21,0
2017,5,13,8,23,0
2017,5,13,9,24,0
2017,5,13,10,25,0
2017,5,13,11,26,0
2017,5,13,12,27,0
2017,5,13,13,28,0
2017,5,13,14,29,0
2017,5,13,15,30,0
2017,5,13,16,29,0
2017,5,13,17,30,0
2017,5,13,18,29,0
2017,5,13,19,25,0
2017,5,13,20,24,0
2017,5,13,21,22,0
2017,5,13,22,21,0
2017,5,13,23,20,0
2017,5,13,24,20,0
2017,5,14,1,19,0
2017,5,14,2,18,0
2017,5,14,3,18,0
2017,5,14,4,18,0
2017,5,14,5,18,0
2017,5,14,6,18,0
2017,5,14,7,19,0
2017,5,14,8,22,0
2017,5,14,9,23,0
2017,5,14,10,25,0
2017,5,14,11,28,0
2017,5,14,12,31,0
2017,5,14,13,32,0
2017,5,14,14,32,0
2017,5,14,15,33,0
2017,5,14,16,33,0
2017,5,14,17,33,0
2017,5,14,18,31,0
2017,5,14,19,27,0
2017,5,14,20,25,0
